game_id,team_id,HoA,won,head_coach,goals,shots,hits,pim
2020020247,9,away,False,D.J. Smith,6,31,25,9
2020020255,12,home,True,Rod Brind'Amour,7,34,21,6
2020020255,29,away,True,John Tortorella,3,40,28,4
2020020256,14,home,False,Jon Cooper,4,31,26,16
2020020256,13,away,False,Joel Quenneville,6,21,15,18
2020020246,17,home,False,Jeff Blashill,2,29,11,6
2020020246,16,away,False,Jeremy Colliton,3,24,10,4
2020020248,22,home,False,Dave Tippett,5,45,37,9
2020020248,52,away,False,Paul Maurice,6,24,17,9
2020020249,23,home,False,Travis Green,3,33,15,10
2020020249,20,away,False,Geoff Ward,4,27,20,14
2020020252,28,home,True,Bob Boughner,3,29,18,2
2020020252,24,away,True,Dallas Eakins,2,28,15,4
2020020253,7,home,False,Ralph Krueger,0,20,22,4
2020020253,2,away,False,Barry Trotz,3,24,12,4
2020020257,5,home,False,Mike Sullivan,1,27,31,10
2020020257,15,away,False,Peter Laviolette,3,42,26,6
2020020364,3,home,False,David Quinn,2,39,30,9
2020020364,1,away,False,Lindy Ruff,5,37,21,5
2020020259,54,home,False,Peter DeBoer,2,29,17,11
2020020259,21,away,False,Jared Bednar,3,25,10,9
2020020260,26,home,True,Todd McLellan,4,29,15,6
2020020260,30,away,True,Dean Evason,0,28,36,6
2020020062,12,home,False,Rod Brind'Amour,3,35,18,8
2020020062,13,away,False,Joel Quenneville,4,37,15,6
2020020262,10,home,True,Sheldon Keefe,2,28,13,6
2020020262,9,away,True,D.J. Smith,1,28,30,6
2020020261,17,home,False,Jeff Blashill,0,29,26,8
2020020261,16,away,False,Jeremy Colliton,2,26,16,8
2020020263,20,home,False,Geoff Ward,1,36,20,2
2020020263,23,away,False,Travis Green,5,33,14,4
2020020264,22,home,True,Dave Tippett,3,30,26,20
2020020264,52,away,True,Paul Maurice,2,35,21,12
2020020265,6,home,False,Bruce Cassidy,2,27,21,12
2020020265,1,away,False,Lindy Ruff,3,26,24,10
2020020266,4,home,False,Alain Vigneault,2,22,21,10
2020020266,3,away,False,David Quinn,2,33,20,10
2020020267,5,home,True,Mike Sullivan,4,37,24,21
2020020267,2,away,True,Barry Trotz,1,32,34,33
2020020268,29,home,True,John Tortorella,3,22,37,2
2020020268,18,away,True,John Hynes,0,32,23,0
2020020270,10,home,True,Sheldon Keefe,7,31,10,4
2020020270,9,away,True,D.J. Smith,3,37,40,6
2020020667,15,home,True,Peter Laviolette,3,21,22,4
2020020667,7,away,True,Ralph Krueger,1,23,17,2
2020020269,19,home,True,Craig Berube,3,45,27,2
2020020269,28,away,True,Bob Boughner,2,32,31,8
2020020272,53,home,False,Rick Tocchet,2,22,31,6
2020020272,26,away,False,Todd McLellan,2,29,18,6
2020020273,24,home,False,Dallas Eakins,1,17,19,12
2020020273,30,away,False,Dean Evason,3,27,23,6
2020020274,12,home,True,Rod Brind'Amour,5,38,24,8
2020020274,16,away,True,Jeremy Colliton,3,29,12,8
2020020275,17,home,False,Jeff Blashill,2,32,12,4
2020020275,13,away,False,Joel Quenneville,7,39,21,8
2020020276,20,home,False,Geoff Ward,1,21,12,4
2020020276,22,away,False,Dave Tippett,2,25,19,6
2020020277,23,home,False,Travis Green,0,29,24,16
2020020277,52,away,False,Paul Maurice,2,31,19,16
2020020278,1,home,False,Lindy Ruff,2,27,13,2
2020020278,7,away,False,Ralph Krueger,3,29,19,6
2020020279,15,home,False,Peter Laviolette,1,27,19,10
2020020279,3,away,False,David Quinn,4,24,12,8
2020020287,21,home,True,Jared Bednar,3,39,15,10
2020020287,54,away,True,Peter DeBoer,2,29,23,12
2020020292,17,home,True,Jeff Blashill,2,27,13,6
2020020292,13,away,True,Joel Quenneville,1,39,9,4
2020020281,5,home,True,Mike Sullivan,3,18,30,2
2020020281,2,away,True,Barry Trotz,2,35,53,2
2020020282,29,home,False,John Tortorella,2,23,13,13
2020020282,18,away,False,John Hynes,4,45,24,7
2020020283,19,home,False,Craig Berube,4,32,17,2
2020020283,28,away,False,Bob Boughner,5,27,17,8
2020020284,8,home,False,Claude Julien,3,33,44,10
2020020284,10,away,False,Sheldon Keefe,5,27,17,4
2020020288,53,home,False,Rick Tocchet,2,24,32,6
2020020288,26,away,False,Todd McLellan,4,23,26,8
2020020543,12,home,True,Rod Brind'Amour,4,28,27,2
2020020543,14,away,True,Jon Cooper,0,24,32,4
