,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,blocks,faceoffWinningPctg,powerPlayConversion
224,2021020007,7,home,True,REG,Don Granato,5,36.0,9,8,16,52.5,3/6
225,2021020007,8,away,False,REG,Dominique Ducharme,1,31.0,18,12,9,47.5,0/4
226,2021020008,9,home,True,REG,D.J. Smith,3,36.0,24,10,12,45.8,1/4
227,2021020008,10,away,False,REG,Sheldon Keefe,2,48.0,22,8,15,54.2,2/5
228,2021020009,17,home,False,OT,Jeff Blashill,6,26.0,16,26,12,46.4,1/5
229,2021020009,14,away,True,OT,Jon Cooper,7,48.0,13,20,10,53.6,3/7
230,2021020010,13,home,True,OT,Joel Quenneville,5,39.0,23,18,17,54.3,0/6
231,2021020010,5,away,False,OT,Mike Sullivan,4,47.0,22,12,11,45.7,2/9
232,2021020011,3,home,False,OT,Gerard Gallant,2,33.0,32,6,13,50.0,0/4
233,2021020011,25,away,True,OT,Rick Bowness,3,26.0,23,10,25,50.0,1/2
234,2021020012,12,home,True,REG,Rod Brind'Amour,6,41.0,25,6,10,55.2,2/5
235,2021020012,2,away,False,REG,Barry Trotz,3,28.0,36,10,22,44.8,0/3
236,2021020013,29,home,True,REG,Brad Larsen,8,26.0,11,22,19,55.0,2/3
237,2021020013,53,away,False,REG,André Tourigny,2,38.0,18,20,9,45.0,1/4
238,2021020014,18,home,False,REG,John Hynes,3,30.0,16,11,12,55.7,1/2
239,2021020014,55,away,True,REG,Dave Hakstol,4,26.0,22,11,12,44.3,2/2
240,2021020015,24,home,True,REG,Dallas Eakins,4,22.0,17,24,19,47.2,2/5
241,2021020015,52,away,False,REG,Paul Maurice,1,34.0,25,14,6,52.8,0/5
242,2021020016,26,home,True,REG,Todd McLellan,6,47.0,22,7,12,49.2,2/2
243,2021020016,54,away,False,REG,Peter DeBoer,2,25.0,41,9,22,50.8,0/1
244,2021020017,1,home,True,OT,Lindy Ruff,4,29.0,17,10,14,48.2,0/2
245,2021020017,16,away,False,OT,Jeremy Colliton,3,27.0,15,4,7,51.8,2/5
246,2021020018,4,home,False,OT,Alain Vigneault,4,35.0,38,8,19,62.5,1/3
247,2021020018,23,away,True,OT,Travis Green,5,39.0,23,6,15,37.5,2/4
248,2021020019,24,home,False,REG,Dallas Eakins,1,29.0,21,25,14,53.8,1/4
249,2021020019,30,away,True,REG,Dean Evason,2,43.0,17,23,15,46.2,1/5
250,2021020020,6,home,True,REG,Bruce Cassidy,3,40.0,25,14,8,46.8,0/3
251,2021020020,25,away,False,REG,Rick Bowness,1,28.0,33,8,11,53.2,0/6
252,2021020021,7,home,True,OT,Don Granato,2,33.0,15,4,9,57.5,1/2
253,2021020021,53,away,False,OT,André Tourigny,1,21.0,15,4,10,42.5,0/2
254,2021020022,10,home,True,REG,Sheldon Keefe,3,29.0,29,4,9,64.9,0/3
255,2021020022,9,away,False,REG,D.J. Smith,1,21.0,37,6,22,35.1,1/2
256,2021020023,8,home,False,REG,Dominique Ducharme,1,32.0,31,8,13,60.7,0/3
257,2021020023,3,away,True,REG,Gerard Gallant,3,24.0,23,6,18,39.3,1/4
258,2021020024,17,home,True,REG,Jeff Blashill,3,21.0,15,26,19,54.8,1/2
259,2021020024,23,away,False,REG,Travis Green,1,41.0,5,24,13,45.2,0/3
260,2021020025,13,home,True,REG,Joel Quenneville,5,29.0,34,12,11,43.3,0/1
261,2021020025,2,away,False,REG,Barry Trotz,1,30.0,28,6,23,56.7,1/4
262,2021020026,5,home,True,REG,Mike Sullivan,5,26.0,26,8,13,45.9,0/2
263,2021020026,16,away,False,REG,Jeremy Colliton,2,20.0,31,6,9,54.1,1/3
264,2021020027,15,home,False,OT,Peter Laviolette,1,33.0,17,2,16,48.2,0/4
265,2021020027,14,away,True,OT,Jon Cooper,2,24.0,19,8,15,51.8,0/1
266,2021020028,29,home,True,OT,Brad Larsen,2,25.0,29,2,15,53.7,0/0
267,2021020028,55,away,False,OT,Dave Hakstol,1,20.0,24,0,22,46.3,0/1
268,2021020029,18,home,False,REG,John Hynes,2,40.0,15,8,9,50.0,0/4
269,2021020029,12,away,True,REG,Rod Brind'Amour,3,32.0,13,8,12,50.0,0/4
270,2021020030,21,home,False,REG,Jared Bednar,3,32.0,11,9,8,51.6,0/3
271,2021020030,19,away,True,REG,Craig Berube,5,28.0,14,11,15,48.4,1/2
272,2021020031,22,home,True,REG,Dave Tippett,5,33.0,26,12,13,50.7,2/4
273,2021020031,20,away,False,REG,Darryl Sutter,2,47.0,27,10,6,49.3,1/4
274,2021020032,26,home,False,REG,Todd McLellan,2,31.0,24,4,6,51.0,1/4
275,2021020032,30,away,True,REG,Dean Evason,3,30.0,25,10,15,49.0,0/1
276,2021020033,28,home,True,REG,Bob Boughner,4,31.0,33,13,21,58.8,2/5
277,2021020033,52,away,False,REG,Paul Maurice,3,23.0,26,17,14,41.2,0/3
278,2021020034,9,home,True,REG,D.J. Smith,3,27.0,30,9,16,43.9,2/3
279,2021020034,25,away,False,REG,Rick Bowness,2,34.0,36,11,13,56.1,0/2
280,2021020035,10,home,False,OT,Sheldon Keefe,1,41.0,19,6,12,75.9,0/3
281,2021020035,3,away,True,OT,Gerard Gallant,2,23.0,33,6,14,24.1,0/3
