,game_id,player_id,team_id,time_on_ice,pim,even_strength_shots_against,saves_shots_against,power_play_shots_against,goals_against
1825,2022020551,8479979,25,60:00,0.0,21/22,26/28,3/3,2
1826,2022020552,8476945,52,59:32,0.0,24/26,24/27,0/1,3
1827,2022020552,8479406,30,60:00,0.0,30/31,31/32,1/1,1
1828,2022020553,8476412,19,64:03,0.0,27/31,32/37,4/4,5
1829,2022020553,8478492,10,64:03,0.0,23/26,30/34,6/7,4
1830,2022020554,8478971,53,60:00,0.0,27/29,28/31,0/1,3
1831,2022020554,8480382,21,58:08,0.0,23/27,27/32,4/5,5
1832,2022020555,8474593,20,58:41,0.0,15/16,20/22,5/6,2
1833,2022020555,8479973,22,60:00,0.0,42/43,46/47,4/4,1
1834,2022020556,8477484,23,60:00,0.0,23/24,24/26,1/2,2
1835,2022020556,8473503,28,60:00,0.0,17/23,19/25,1/1,6
1836,2022020557,8477831,26,60:00,0.0,18/19,23/25,5/6,2
1837,2022020557,8480313,54,58:47,0.0,20/23,21/24,0/0,3
1838,2022020558,8477970,1,57:35,0.0,20/22,24/26,4/4,2
1839,2022020558,8476999,6,59:49,0.0,30/31,30/31,0/0,1
1840,2022020559,8476883,14,59:53,0.0,17/18,25/26,7/7,1
1841,2022020559,8474596,8,60:00,0.0,30/33,34/38,1/2,4
1842,2022020560,8479193,5,62:13,0.0,32/35,41/46,8/10,5
1843,2022020560,8478024,17,19:24,0.0,6/8,8/12,2/4,4
1844,2022020560,8476433,17,42:13,0.0,19/19,19/19,0/0,0
1845,2022020561,8475831,55,58:37,0.0,28/30,41/44,12/13,3
1846,2022020561,8478435,20,59:45,0.0,29/31,29/31,0/0,2
1847,2022020562,8476434,24,64:55,0.0,34/35,49/51,14/14,2
1848,2022020562,8478499,54,12:26,0.0,3/5,3/5,0/0,2
1849,2022020562,8480313,54,52:00,0.0,13/13,22/22,8/8,0
1850,2022020563,8480045,7,59:39,0.0,24/26,28/31,4/5,3
1851,2022020563,8476433,17,58:43,0.0,25/29,29/34,4/5,5
1852,2022020564,8475683,13,60:00,0.0,19/19,25/27,6/8,2
1853,2022020564,8478470,8,59:36,0.0,22/26,34/41,11/14,7
1854,2022020565,8476883,14,64:51,0.0,38/39,45/46,7/7,1
1855,2022020565,8478048,3,65:00,0.0,37/38,39/40,2/2,1
1856,2022020566,8475311,15,61:14,0.0,36/40,41/45,2/2,4
1857,2022020566,8475660,9,61:31,0.0,16/19,20/23,2/2,3
1858,2022020567,8478009,2,60:00,0.0,17/18,20/21,2/2,1
1859,2022020567,8476914,29,57:47,0.0,32/33,34/36,2/3,2
1860,2022020568,8476412,19,60:00,0.0,18/18,21/22,2/3,1
1861,2022020568,8471774,16,58:41,0.0,20/22,26/28,5/5,2
1862,2022020569,8470594,30,59:09,0.0,30/31,39/42,8/10,3
1863,2022020569,8479979,25,59:46,0.0,20/21,23/24,3/3,1
1864,2022020570,8476945,52,60:00,0.0,16/18,20/22,3/3,2
1865,2022020570,8480420,23,59:42,0.0,34/35,35/38,0/2,3
1866,2022020571,8480382,21,64:51,0.0,19/21,23/27,2/4,4
1867,2022020571,8477831,26,65:00,0.0,22/25,23/27,1/2,4
1868,2022020572,8478872,53,60:00,0.0,25/26,29/32,3/5,3
1869,2022020572,8476899,10,58:51,0.0,14/16,17/21,3/5,4
1870,2022020573,8478039,28,61:01,0.0,18/22,22/26,3/3,4
1871,2022020573,8481035,4,60:24,0.0,18/20,25/28,6/7,3
1872,2022020574,8476434,24,60:00,0.0,37/42,37/43,0/1,6
1873,2022020574,8477424,18,60:00,0.0,24/25,26/27,2/2,1
1874,2022020575,8477293,12,59:59,0.0,15/15,19/19,4/4,0
1875,2022020575,8481519,13,60:00,0.0,24/25,30/34,5/8,4
1876,2022020576,8477465,5,58:43,0.0,16/17,24/27,7/8,3
1877,2022020576,8477970,1,60:00,0.0,11/13,25/27,12/12,2
1878,2022020577,8474889,55,56:05,0.0,21/24,23/27,0/1,4
1879,2022020577,8475831,55,03:55,0.0,2/4,2/5,0/1,3
1880,2022020577,8479973,22,60:00,0.0,31/33,36/38,5/5,2
1881,2022020578,8480280,6,63:51,0.0,15/19,21/25,3/3,4
1882,2022020578,8480045,7,63:16,0.0,25/27,37/40,9/10,3
1883,2022020579,8480313,54,61:30,0.0,32/35,33/37,1/2,4
1884,2022020579,8480947,18,60:44,0.0,27/32,27/32,0/0,5
1885,2022020580,8479292,15,60:00,0.0,29/30,31/33,1/2,2
1886,2022020580,8474596,8,60:00,0.0,28/35,31/40,3/5,9
1887,2022020581,8471734,26,58:53,0.0,14/15,19/22,2/3,3
1888,2022020581,8481035,4,59:38,0.0,24/25,27/29,2/3,2
1889,2022020582,8476883,14,60:00,0.0,25/28,28/31,3/3,3
1890,2022020582,8478872,53,58:24,0.0,29/32,30/35,0/2,5
1891,2022020583,8476914,29,60:00,0.0,17/18,27/28,9/9,1
1892,2022020583,8471774,16,58:09,0.0,28/29,34/37,6/7,3
1893,2022020584,8476433,17,60:00,0.0,17/19,21/23,2/2,2
1894,2022020584,8475660,9,58:39,0.0,15/19,21/25,5/5,4
1895,2022020585,8477992,21,23:15,0.0,7/7,7/7,0/0,0
1896,2022020585,8480382,21,35:24,0.0,17/21,19/24,2/3,5
1897,2022020585,8476899,10,59:39,0.0,22/24,26/28,4/4,2
1898,2022020586,8479979,25,60:00,0.0,28/30,29/31,1/1,2
1899,2022020586,8473503,28,58:57,0.0,21/22,26/30,4/6,4
1900,2022020587,8474593,20,60:00,0.0,19/21,22/24,3/3,2
1901,2022020587,8477484,23,57:16,0.0,20/22,27/30,5/5,3
1902,2022020588,8475789,22,58:46,0.0,11/12,15/17,3/4,2
1903,2022020588,8476945,52,60:00,0.0,23/24,31/32,6/6,1
1904,2022020589,8476412,19,58:12,0.0,26/30,27/31,1/1,4
1905,2022020589,8470594,30,59:16,0.0,26/28,29/31,3/3,2
1906,2022020637,8479979,25,60:00,0.0,25/26,27/28,2/2,1
1907,2022020637,8481519,13,59:20,0.0,26/29,29/33,0/1,4
1908,2022020638,8479496,52,60:00,0.0,30/33,34/38,4/5,4
1909,2022020638,8477484,23,34:26,0.0,10/12,11/14,0/0,3
1910,2022020638,8480420,23,25:34,0.0,9/13,9/13,0/0,4
1911,2022020639,8475311,15,60:00,0.0,31/31,38/38,4/4,0
1912,2022020639,8478007,29,58:30,0.0,15/16,18/19,2/2,1
1913,2022020640,8471774,16,61:04,0.0,38/39,44/47,5/7,3
1914,2022020640,8474593,20,20:35,0.0,8/11,8/11,0/0,3
