game_id,team_id,time_on_ice,pim,shots,saves,power_play_saves,short_handed_saves,goals_against,save_percentage
2000020135,8,3527,0.0,32,30,2,2,2,93.75
2000020135,2,3600,0.0,38,37,9,0,1,97.36842105
2000020136,5,3594,0.0,28,27,9,3,1,96.42857143
2000020136,3,3600,0.0,33,29,14,1,4,87.87878788
2000020137,1,3900,0.0,29,26,5,0,3,89.65517241
2000020137,12,3900,0.0,31,28,8,1,3,90.32258065
2000020138,9,3600,0.0,24,24,2,2,0,100.0
2000020138,14,1565,0.0,17,13,0,1,4,76.47058824
2000020138,14,2035,0.0,18,16,2,1,2,88.88888889
2000020139,15,3553,0.0,19,16,4,0,3,84.21052632
2000020139,29,3581,0.0,33,32,12,3,1,96.96969697
2000020140,27,3580,0.0,30,28,5,0,2,93.33333333
2000020140,25,3592,0.0,17,14,2,0,3,82.35294118
2000020141,13,3900,0.0,45,42,13,1,3,93.33333333
2000020141,18,1194,0.0,10,9,3,0,1,90.0
2000020141,18,2700,0.0,19,17,2,0,2,89.47368421
2000020142,20,3512,0.0,13,10,3,2,3,76.92307692
2000020142,30,3600,2.0,31,30,10,2,1,96.77419355
2000020143,11,3895,4.0,27,26,6,3,1,96.2962963
2000020143,23,3900,0.0,24,23,6,3,1,95.83333333
2000020144,22,3539,0.0,21,18,4,0,3,85.71428571
2000020144,24,3600,0.0,31,29,1,4,2,93.5483871
2000020145,10,3816,2.0,28,27,7,3,1,96.42857143
2000020145,6,3816,0.0,20,18,2,2,2,90.0
2000020146,2,3600,0.0,34,33,7,0,1,97.05882353
2000020146,8,3530,0.0,18,16,2,1,2,88.88888889
2000020147,1,3600,0.0,21,21,0,0,0,100.0
2000020147,5,2400,0.0,26,21,1,0,5,80.76923077
2000020147,5,1200,0.0,16,12,2,0,4,75.0
2000020148,9,3546,0.0,25,23,8,2,2,92.0
2000020148,13,3599,0.0,31,30,7,1,1,96.77419355
2000020149,29,3600,0.0,36,32,9,3,4,88.88888889
2000020149,17,3580,0.0,15,14,2,1,1,93.33333333
2000020150,7,3598,2.0,23,22,3,1,1,95.65217391
2000020150,16,3523,0.0,24,21,2,2,3,87.5
